<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[16/05/2017 17:09:51] >> Logger created
[16/05/2017 17:09:52] >> Abstraction
[16/05/2017 17:09:52] >> === Experiment #0 ===
[16/05/2017 17:09:52] >> ex0ep100 mean: 1560.15
[16/05/2017 17:09:52] >> ex0ep200 mean: 190.17
[16/05/2017 17:09:52] >> ex0ep300 mean: 74.31
[16/05/2017 17:09:52] >> ex0ep400 mean: 80.45
[16/05/2017 17:09:52] >> ex0ep500 mean: 61.14
[16/05/2017 17:09:53] >> ex0ep600 mean: 72.25
[16/05/2017 17:09:53] >> ex0ep700 mean: 63.29
[16/05/2017 17:09:53] >> ex0ep800 mean: 61.02
[16/05/2017 17:09:53] >> ex0ep900 mean: 64.48
[16/05/2017 17:09:53] >> ex0ep1000 mean: 71.63
[16/05/2017 17:09:53] >> ex0ep1100 mean: 57.12
[16/05/2017 17:09:53] >> ex0ep1200 mean: 68.13
[16/05/2017 17:09:53] >> ex0ep1300 mean: 62.5
[16/05/2017 17:09:53] >> ex0ep1400 mean: 77.61
[16/05/2017 17:09:53] >> ex0ep1500 mean: 58.21
[16/05/2017 17:09:53] >> ex0ep1600 mean: 74.58
[16/05/2017 17:09:53] >> ex0ep1700 mean: 66.78
[16/05/2017 17:09:53] >> ex0ep1800 mean: 62.04
[16/05/2017 17:09:53] >> ex0ep1900 mean: 60.2
[16/05/2017 17:09:53] >> ex0ep2000 mean: 61.05
[16/05/2017 17:09:53] >> ex0ep2100 mean: 56.79
[16/05/2017 17:09:53] >> ex0ep2200 mean: 52.48
[16/05/2017 17:09:53] >> ex0ep2300 mean: 62.03
[16/05/2017 17:09:53] >> ex0ep2400 mean: 57.9
[16/05/2017 17:09:53] >> ex0ep2500 mean: 66.35
[16/05/2017 17:09:53] >> ex0ep2600 mean: 57.96
[16/05/2017 17:09:53] >> ex0ep2700 mean: 52.82
[16/05/2017 17:09:53] >> ex0ep2800 mean: 45.16
[16/05/2017 17:09:53] >> ex0ep2900 mean: 51.78
[16/05/2017 17:09:53] >> ex0ep3000 mean: 56.85
[16/05/2017 17:09:53] >> ex0ep3100 mean: 60.64
[16/05/2017 17:09:53] >> ex0ep3200 mean: 56.34
[16/05/2017 17:09:53] >> ex0ep3300 mean: 59.67
[16/05/2017 17:09:53] >> ex0ep3400 mean: 54.49
[16/05/2017 17:09:53] >> ex0ep3500 mean: 55.33
[16/05/2017 17:09:53] >> ex0ep3600 mean: 51.18
[16/05/2017 17:09:53] >> ex0ep3700 mean: 55.08
[16/05/2017 17:09:53] >> ex0ep3800 mean: 51.31
[16/05/2017 17:09:53] >> ex0ep3900 mean: 49.42
[16/05/2017 17:09:53] >> ex0ep4000 mean: 45.95
[16/05/2017 17:09:53] >> ex0ep4100 mean: 52.54
[16/05/2017 17:09:53] >> ex0ep4200 mean: 44.13
[16/05/2017 17:09:53] >> ex0ep4300 mean: 47.76
[16/05/2017 17:09:53] >> ex0ep4400 mean: 46.48
[16/05/2017 17:09:53] >> ex0ep4500 mean: 50.05
[16/05/2017 17:09:53] >> ex0ep4600 mean: 43.37
[16/05/2017 17:09:53] >> ex0ep4700 mean: 45.93
[16/05/2017 17:09:53] >> ex0ep4800 mean: 42.42
[16/05/2017 17:09:53] >> ex0ep4900 mean: 45.51
[16/05/2017 17:09:53] >> ex0ep5000 mean: 47.15
[16/05/2017 17:09:54] >> ex0ep5100 mean: 42.58
[16/05/2017 17:09:54] >> ex0ep5200 mean: 47.89
[16/05/2017 17:09:54] >> ex0ep5300 mean: 45.39
[16/05/2017 17:09:54] >> ex0ep5400 mean: 42.25
[16/05/2017 17:09:54] >> ex0ep5500 mean: 46.14
[16/05/2017 17:09:54] >> ex0ep5600 mean: 43.44
[16/05/2017 17:09:54] >> ex0ep5700 mean: 46.35
[16/05/2017 17:09:54] >> ex0ep5800 mean: 45.37
[16/05/2017 17:09:54] >> ex0ep5900 mean: 50.58
[16/05/2017 17:09:54] >> ex0ep6000 mean: 48.74
[16/05/2017 17:09:54] >> ex0ep6100 mean: 43.73
[16/05/2017 17:09:54] >> ex0ep6200 mean: 45.24
[16/05/2017 17:09:54] >> ex0ep6300 mean: 41.68
[16/05/2017 17:09:54] >> ex0ep6400 mean: 46.97
[16/05/2017 17:09:54] >> ex0ep6500 mean: 46.18
[16/05/2017 17:09:54] >> ex0ep6600 mean: 43.8
[16/05/2017 17:09:54] >> ex0ep6700 mean: 41.47
[16/05/2017 17:09:54] >> ex0ep6800 mean: 45.82
[16/05/2017 17:09:54] >> ex0ep6900 mean: 50.63
[16/05/2017 17:09:54] >> ex0ep7000 mean: 41.12
[16/05/2017 17:09:54] >> ex0ep7100 mean: 47.02
[16/05/2017 17:09:54] >> ex0ep7200 mean: 42.86
[16/05/2017 17:09:54] >> ex0ep7300 mean: 44.45
[16/05/2017 17:09:54] >> ex0ep7400 mean: 40.32
[16/05/2017 17:09:54] >> ex0ep7500 mean: 45.73
[16/05/2017 17:09:54] >> ex0ep7600 mean: 45.47
[16/05/2017 17:09:54] >> ex0ep7700 mean: 43.01
[16/05/2017 17:09:54] >> ex0ep7800 mean: 45.24
[16/05/2017 17:09:54] >> ex0ep7900 mean: 43.25
[16/05/2017 17:09:54] >> ex0ep8000 mean: 46.52
[16/05/2017 17:09:54] >> ex0ep8100 mean: 43.82
[16/05/2017 17:09:54] >> ex0ep8200 mean: 43.13
[16/05/2017 17:09:54] >> ex0ep8300 mean: 42.06
[16/05/2017 17:09:54] >> ex0ep8400 mean: 41.23
[16/05/2017 17:09:54] >> ex0ep8500 mean: 41.83
[16/05/2017 17:09:54] >> ex0ep8600 mean: 43.08
[16/05/2017 17:09:54] >> ex0ep8700 mean: 41.67
[16/05/2017 17:09:54] >> ex0ep8800 mean: 45.24
[16/05/2017 17:09:54] >> ex0ep8900 mean: 38.35
[16/05/2017 17:09:54] >> ex0ep9000 mean: 43.76
[16/05/2017 17:09:54] >> ex0ep9100 mean: 40.59
[16/05/2017 17:09:54] >> ex0ep9200 mean: 39.53
[16/05/2017 17:09:54] >> ex0ep9300 mean: 44.28
[16/05/2017 17:09:54] >> ex0ep9400 mean: 41.47
[16/05/2017 17:09:54] >> ex0ep9500 mean: 43.28
[16/05/2017 17:09:54] >> ex0ep9600 mean: 41.93
[16/05/2017 17:09:54] >> ex0ep9700 mean: 41.08
[16/05/2017 17:09:54] >> ex0ep9800 mean: 41.12
[16/05/2017 17:09:54] >> ex0ep9900 mean: 40.81
[16/05/2017 17:09:54] >> ex0ep10000 mean: 41.01
[16/05/2017 17:09:54] >> ex0ep10100 mean: 42.85
[16/05/2017 17:09:54] >> ex0ep10200 mean: 41.66
[16/05/2017 17:09:54] >> ex0ep10300 mean: 39.36
[16/05/2017 17:09:54] >> ex0ep10400 mean: 41.45
[16/05/2017 17:09:54] >> ex0ep10500 mean: 45.74
[16/05/2017 17:09:55] >> ex0ep10600 mean: 44.23
[16/05/2017 17:09:55] >> ex0ep10700 mean: 42.57
[16/05/2017 17:09:55] >> ex0ep10800 mean: 41.95
[16/05/2017 17:09:55] >> ex0ep10900 mean: 43.21
[16/05/2017 17:09:55] >> ex0ep11000 mean: 41.62
[16/05/2017 17:09:55] >> ex0ep11100 mean: 40.66
[16/05/2017 17:09:55] >> ex0ep11200 mean: 40.7
[16/05/2017 17:09:55] >> ex0ep11300 mean: 44.35
[16/05/2017 17:09:55] >> ex0ep11400 mean: 43.23
[16/05/2017 17:09:55] >> ex0ep11500 mean: 40.04
[16/05/2017 17:09:55] >> ex0ep11600 mean: 42.06
[16/05/2017 17:09:55] >> ex0ep11700 mean: 42.97
[16/05/2017 17:09:55] >> ex0ep11800 mean: 37.89
[16/05/2017 17:09:55] >> ex0ep11900 mean: 39.71
[16/05/2017 17:09:55] >> ex0ep12000 mean: 41.81
[16/05/2017 17:09:55] >> ex0ep12100 mean: 43.4
[16/05/2017 17:09:55] >> ex0ep12200 mean: 36.35
[16/05/2017 17:09:55] >> ex0ep12300 mean: 39.11
[16/05/2017 17:09:55] >> ex0ep12400 mean: 38.48
[16/05/2017 17:09:55] >> ex0ep12500 mean: 42.75
[16/05/2017 17:09:55] >> ex0ep12600 mean: 38.82
[16/05/2017 17:09:55] >> ex0ep12700 mean: 35.24
[16/05/2017 17:09:55] >> ex0ep12800 mean: 40.41
[16/05/2017 17:09:55] >> ex0ep12900 mean: 36.92
[16/05/2017 17:09:55] >> ex0ep13000 mean: 41.72
[16/05/2017 17:09:55] >> ex0ep13100 mean: 37.56
[16/05/2017 17:09:55] >> ex0ep13200 mean: 36.27
