<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[16/05/2017 16:26:01] >> Logger created
[16/05/2017 16:26:01] >> Abstraction
[16/05/2017 16:26:01] >> === Experiment #0 ===
[16/05/2017 16:26:02] >> ex0ep100 mean: 2331.26
[16/05/2017 16:26:02] >> ex0ep200 mean: 3083.52
[16/05/2017 16:26:03] >> ex0ep300 mean: 2479.53
[16/05/2017 16:26:04] >> ex0ep400 mean: 2654.07
[16/05/2017 16:26:05] >> ex0ep500 mean: 2456.27
[16/05/2017 16:26:05] >> ex0ep600 mean: 2551.99
[16/05/2017 16:26:06] >> ex0ep700 mean: 2682.99
[16/05/2017 16:26:07] >> ex0ep800 mean: 2516.38
[16/05/2017 16:26:07] >> ex0ep900 mean: 2519.34
[16/05/2017 16:26:08] >> ex0ep1000 mean: 2552.18
[16/05/2017 16:26:09] >> ex0ep1100 mean: 2344.01
[16/05/2017 16:26:09] >> ex0ep1200 mean: 2240.01
[16/05/2017 16:26:10] >> ex0ep1300 mean: 2389.46
[16/05/2017 16:26:10] >> ex0ep1400 mean: 2209.6
[16/05/2017 16:26:11] >> ex0ep1500 mean: 2210.91
[16/05/2017 16:26:12] >> ex0ep1600 mean: 2346.64
[16/05/2017 16:26:12] >> ex0ep1700 mean: 2189.18
[16/05/2017 16:26:13] >> ex0ep1800 mean: 2276.71
[16/05/2017 16:26:13] >> ex0ep1900 mean: 2097.15
[16/05/2017 16:26:14] >> ex0ep2000 mean: 2071.03
[16/05/2017 16:26:14] >> ex0ep2100 mean: 2141.34
[16/05/2017 16:26:15] >> ex0ep2200 mean: 2114.15
[16/05/2017 16:26:15] >> ex0ep2300 mean: 2089.04
[16/05/2017 16:26:16] >> ex0ep2400 mean: 2055.16
[16/05/2017 16:26:16] >> ex0ep2500 mean: 2121.57
[16/05/2017 16:26:17] >> ex0ep2600 mean: 2045.64
[16/05/2017 16:26:17] >> ex0ep2700 mean: 2113.0
[16/05/2017 16:26:18] >> ex0ep2800 mean: 2061.49
[16/05/2017 16:26:18] >> ex0ep2900 mean: 1916.68
[16/05/2017 16:26:19] >> ex0ep3000 mean: 1950.23
[16/05/2017 16:26:19] >> ex0ep3100 mean: 1782.59
[16/05/2017 16:26:20] >> ex0ep3200 mean: 1977.94
[16/05/2017 16:26:20] >> ex0ep3300 mean: 1716.19
[16/05/2017 16:26:21] >> ex0ep3400 mean: 1992.4
[16/05/2017 16:26:21] >> ex0ep3500 mean: 2150.96
[16/05/2017 16:26:22] >> ex0ep3600 mean: 1633.74
[16/05/2017 16:26:22] >> ex0ep3700 mean: 1716.12
[16/05/2017 16:26:23] >> ex0ep3800 mean: 1876.48
[16/05/2017 16:26:23] >> ex0ep3900 mean: 1576.68
[16/05/2017 16:26:23] >> ex0ep4000 mean: 1828.01
[16/05/2017 16:26:24] >> ex0ep4100 mean: 1594.48
[16/05/2017 16:26:24] >> ex0ep4200 mean: 1765.8
[16/05/2017 16:26:25] >> ex0ep4300 mean: 1577.14
[16/05/2017 16:26:25] >> ex0ep4400 mean: 1808.8
[16/05/2017 16:26:26] >> ex0ep4500 mean: 1654.62
[16/05/2017 16:26:26] >> ex0ep4600 mean: 1753.82
[16/05/2017 16:26:27] >> ex0ep4700 mean: 1847.21
[16/05/2017 16:26:27] >> ex0ep4800 mean: 1518.69
[16/05/2017 16:26:27] >> ex0ep4900 mean: 1753.24
[16/05/2017 16:26:28] >> ex0ep5000 mean: 1617.03
[16/05/2017 16:26:28] >> ex0ep5100 mean: 1712.6
[16/05/2017 16:26:29] >> ex0ep5200 mean: 1618.75
[16/05/2017 16:26:29] >> ex0ep5300 mean: 1474.3
[16/05/2017 16:26:29] >> ex0ep5400 mean: 1417.55
[16/05/2017 16:26:30] >> ex0ep5500 mean: 1902.05
[16/05/2017 16:26:30] >> ex0ep5600 mean: 1710.5
[16/05/2017 16:26:31] >> ex0ep5700 mean: 1398.73
[16/05/2017 16:26:31] >> ex0ep5800 mean: 1469.0
[16/05/2017 16:26:32] >> ex0ep5900 mean: 1695.21
[16/05/2017 16:26:32] >> ex0ep6000 mean: 1467.09
[16/05/2017 16:26:32] >> ex0ep6100 mean: 1518.91
[16/05/2017 16:26:33] >> ex0ep6200 mean: 1574.21
[16/05/2017 16:26:33] >> ex0ep6300 mean: 1605.77
[16/05/2017 16:26:34] >> ex0ep6400 mean: 1535.84
[16/05/2017 16:26:34] >> ex0ep6500 mean: 1058.96
[16/05/2017 16:26:34] >> ex0ep6600 mean: 1379.42
