<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[16/05/2017 16:50:47] >> Logger created
[16/05/2017 16:50:47] >> Abstraction
[16/05/2017 16:50:47] >> === Experiment #0 ===
[16/05/2017 16:50:47] >> ex0ep100 mean: 499.4
[16/05/2017 16:50:47] >> ex0ep200 mean: 107.56
[16/05/2017 16:50:47] >> ex0ep300 mean: 38.19
[16/05/2017 16:50:47] >> ex0ep400 mean: 36.35
[16/05/2017 16:50:47] >> ex0ep500 mean: 31.61
[16/05/2017 16:50:47] >> ex0ep600 mean: 36.09
[16/05/2017 16:50:47] >> ex0ep700 mean: 37.92
[16/05/2017 16:50:47] >> ex0ep800 mean: 46.42
[16/05/2017 16:50:47] >> ex0ep900 mean: 56.74
[16/05/2017 16:50:47] >> ex0ep1000 mean: 48.45
[16/05/2017 16:50:47] >> ex0ep1100 mean: 68.34
[16/05/2017 16:50:47] >> ex0ep1200 mean: 42.65
[16/05/2017 16:50:47] >> ex0ep1300 mean: 51.37
[16/05/2017 16:50:47] >> ex0ep1400 mean: 55.51
[16/05/2017 16:50:47] >> ex0ep1500 mean: 55.47
[16/05/2017 16:50:47] >> ex0ep1600 mean: 34.3
[16/05/2017 16:50:47] >> ex0ep1700 mean: 33.01
[16/05/2017 16:50:47] >> ex0ep1800 mean: 41.77
[16/05/2017 16:50:48] >> ex0ep1900 mean: 38.22
[16/05/2017 16:50:48] >> ex0ep2000 mean: 54.79
[16/05/2017 16:50:48] >> ex0ep2100 mean: 51.53
[16/05/2017 16:50:48] >> ex0ep2200 mean: 50.47
[16/05/2017 16:50:48] >> ex0ep2300 mean: 42.65
[16/05/2017 16:50:48] >> ex0ep2400 mean: 46.75
[16/05/2017 16:50:48] >> ex0ep2500 mean: 40.9
[16/05/2017 16:50:48] >> ex0ep2600 mean: 39.31
[16/05/2017 16:50:48] >> ex0ep2700 mean: 43.85
[16/05/2017 16:50:48] >> ex0ep2800 mean: 38.48
[16/05/2017 16:50:48] >> ex0ep2900 mean: 37.31
[16/05/2017 16:50:48] >> ex0ep3000 mean: 43.7
[16/05/2017 16:50:48] >> ex0ep3100 mean: 40.7
[16/05/2017 16:50:48] >> ex0ep3200 mean: 39.04
[16/05/2017 16:50:48] >> ex0ep3300 mean: 42.73
[16/05/2017 16:50:48] >> ex0ep3400 mean: 39.58
[16/05/2017 16:50:48] >> ex0ep3500 mean: 35.63
[16/05/2017 16:50:48] >> ex0ep3600 mean: 40.14
[16/05/2017 16:50:48] >> ex0ep3700 mean: 36.32
[16/05/2017 16:50:48] >> ex0ep3800 mean: 40.61
[16/05/2017 16:50:48] >> ex0ep3900 mean: 36.08
[16/05/2017 16:50:48] >> ex0ep4000 mean: 36.54
[16/05/2017 16:50:48] >> ex0ep4100 mean: 35.0
[16/05/2017 16:50:48] >> ex0ep4200 mean: 36.36
[16/05/2017 16:50:48] >> ex0ep4300 mean: 38.21
[16/05/2017 16:50:48] >> ex0ep4400 mean: 33.31
[16/05/2017 16:50:48] >> ex0ep4500 mean: 37.41
[16/05/2017 16:50:48] >> ex0ep4600 mean: 38.69
[16/05/2017 16:50:48] >> ex0ep4700 mean: 37.18
[16/05/2017 16:50:48] >> ex0ep4800 mean: 35.14
[16/05/2017 16:50:48] >> ex0ep4900 mean: 42.29
[16/05/2017 16:50:48] >> ex0ep5000 mean: 37.02
[16/05/2017 16:50:48] >> ex0ep5100 mean: 35.03
[16/05/2017 16:50:48] >> ex0ep5200 mean: 40.04
[16/05/2017 16:50:48] >> ex0ep5300 mean: 35.49
[16/05/2017 16:50:48] >> ex0ep5400 mean: 39.37
[16/05/2017 16:50:48] >> ex0ep5500 mean: 34.33
[16/05/2017 16:50:48] >> ex0ep5600 mean: 37.03
[16/05/2017 16:50:48] >> ex0ep5700 mean: 37.92
[16/05/2017 16:50:48] >> ex0ep5800 mean: 38.56
[16/05/2017 16:50:48] >> ex0ep5900 mean: 55.96
[16/05/2017 16:50:48] >> ex0ep6000 mean: 35.19
[16/05/2017 16:50:48] >> ex0ep6100 mean: 32.16
[16/05/2017 16:50:48] >> ex0ep6200 mean: 34.04
[16/05/2017 16:50:48] >> ex0ep6300 mean: 32.98
[16/05/2017 16:50:48] >> ex0ep6400 mean: 32.53
[16/05/2017 16:50:48] >> ex0ep6500 mean: 34.8
[16/05/2017 16:50:48] >> ex0ep6600 mean: 38.6
[16/05/2017 16:50:48] >> ex0ep6700 mean: 34.14
[16/05/2017 16:50:48] >> ex0ep6800 mean: 34.69
[16/05/2017 16:50:48] >> ex0ep6900 mean: 34.64
[16/05/2017 16:50:48] >> ex0ep7000 mean: 34.71
[16/05/2017 16:50:48] >> ex0ep7100 mean: 33.08
[16/05/2017 16:50:48] >> ex0ep7200 mean: 34.78
[16/05/2017 16:50:48] >> ex0ep7300 mean: 34.12
[16/05/2017 16:50:48] >> ex0ep7400 mean: 35.82
[16/05/2017 16:50:48] >> ex0ep7500 mean: 34.25
[16/05/2017 16:50:48] >> ex0ep7600 mean: 32.21
[16/05/2017 16:50:48] >> ex0ep7700 mean: 34.54
[16/05/2017 16:50:48] >> ex0ep7800 mean: 33.86
[16/05/2017 16:50:48] >> ex0ep7900 mean: 35.93
[16/05/2017 16:50:48] >> ex0ep8000 mean: 33.24
[16/05/2017 16:50:48] >> ex0ep8100 mean: 35.27
[16/05/2017 16:50:48] >> ex0ep8200 mean: 34.14
[16/05/2017 16:50:48] >> ex0ep8300 mean: 34.7
[16/05/2017 16:50:48] >> ex0ep8400 mean: 36.28
[16/05/2017 16:50:48] >> ex0ep8500 mean: 31.22
[16/05/2017 16:50:48] >> ex0ep8600 mean: 34.87
[16/05/2017 16:50:48] >> ex0ep8700 mean: 33.64
[16/05/2017 16:50:48] >> ex0ep8800 mean: 34.37
[16/05/2017 16:50:48] >> ex0ep8900 mean: 33.0
[16/05/2017 16:50:48] >> ex0ep9000 mean: 30.15
[16/05/2017 16:50:48] >> ex0ep9100 mean: 33.89
[16/05/2017 16:50:48] >> ex0ep9200 mean: 37.01
[16/05/2017 16:50:48] >> ex0ep9300 mean: 32.17
[16/05/2017 16:50:48] >> ex0ep9400 mean: 33.93
[16/05/2017 16:50:48] >> ex0ep9500 mean: 32.81
[16/05/2017 16:50:48] >> ex0ep9600 mean: 33.33
[16/05/2017 16:50:48] >> ex0ep9700 mean: 35.1
[16/05/2017 16:50:48] >> ex0ep9800 mean: 29.6
[16/05/2017 16:50:48] >> ex0ep9900 mean: 34.61
[16/05/2017 16:50:48] >> ex0ep10000 mean: 36.6
[16/05/2017 16:50:48] >> total time: 1 secs
