<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[09/05/2017 10:07:24] >> Logger created
[09/05/2017 10:07:25] >> BasicQLearning
[09/05/2017 10:07:25] >> === Experiment #0 ===
[09/05/2017 10:07:25] >> ex0ep100 mean: 2576.11
[09/05/2017 10:07:25] >> ex0ep200 mean: 2332.12
[09/05/2017 10:07:25] >> ex0ep300 mean: 2422.83
[09/05/2017 10:07:26] >> ex0ep400 mean: 2468.46
[09/05/2017 10:07:26] >> ex0ep500 mean: 2497.64
[09/05/2017 10:07:26] >> ex0ep600 mean: 2546.57
[09/05/2017 10:07:26] >> ex0ep700 mean: 2599.18
[09/05/2017 10:07:26] >> ex0ep800 mean: 2312.72
[09/05/2017 10:07:26] >> ex0ep900 mean: 2161.88
[09/05/2017 10:07:27] >> ex0ep1000 mean: 2330.14
[09/05/2017 10:07:27] >> ex0ep1100 mean: 2487.22
[09/05/2017 10:07:27] >> ex0ep1200 mean: 2582.05
[09/05/2017 10:07:27] >> ex0ep1300 mean: 2314.24
[09/05/2017 10:07:27] >> ex0ep1400 mean: 2101.9
[09/05/2017 10:07:28] >> ex0ep1500 mean: 2303.15
[09/05/2017 10:07:28] >> ex0ep1600 mean: 2290.7
[09/05/2017 10:07:28] >> ex0ep1700 mean: 2054.65
[09/05/2017 10:07:28] >> ex0ep1800 mean: 2282.24
[09/05/2017 10:07:28] >> ex0ep1900 mean: 2301.62
[09/05/2017 10:07:28] >> ex0ep2000 mean: 2098.85
[09/05/2017 10:07:28] >> ex0ep2100 mean: 2026.06
[09/05/2017 10:07:29] >> ex0ep2200 mean: 2164.2
[09/05/2017 10:07:29] >> ex0ep2300 mean: 1984.01
[09/05/2017 10:07:29] >> ex0ep2400 mean: 2151.67
[09/05/2017 10:07:29] >> ex0ep2500 mean: 2013.83
[09/05/2017 10:07:29] >> ex0ep2600 mean: 2018.33
[09/05/2017 10:07:29] >> ex0ep2700 mean: 1788.12
[09/05/2017 10:07:30] >> ex0ep2800 mean: 2084.51
[09/05/2017 10:07:30] >> ex0ep2900 mean: 2242.31
[09/05/2017 10:07:30] >> ex0ep3000 mean: 1862.12
[09/05/2017 10:07:30] >> ex0ep3100 mean: 2054.72
[09/05/2017 10:07:30] >> ex0ep3200 mean: 1916.08
[09/05/2017 10:07:30] >> ex0ep3300 mean: 2028.49
[09/05/2017 10:07:30] >> ex0ep3400 mean: 1762.91
[09/05/2017 10:07:31] >> ex0ep3500 mean: 1892.17
[09/05/2017 10:07:31] >> ex0ep3600 mean: 1847.24
[09/05/2017 10:07:31] >> ex0ep3700 mean: 2030.81
[09/05/2017 10:07:31] >> ex0ep3800 mean: 2045.17
[09/05/2017 10:07:31] >> ex0ep3900 mean: 1865.22
[09/05/2017 10:07:31] >> ex0ep4000 mean: 1619.48
[09/05/2017 10:07:31] >> ex0ep4100 mean: 1864.16
[09/05/2017 10:07:31] >> ex0ep4200 mean: 1895.84
[09/05/2017 10:07:32] >> ex0ep4300 mean: 1405.82
[09/05/2017 10:07:32] >> ex0ep4400 mean: 1736.28
[09/05/2017 10:07:32] >> ex0ep4500 mean: 1836.56
[09/05/2017 10:07:32] >> ex0ep4600 mean: 1420.37
[09/05/2017 10:07:32] >> ex0ep4700 mean: 1624.99
[09/05/2017 10:07:32] >> ex0ep4800 mean: 1850.3
[09/05/2017 10:07:32] >> ex0ep4900 mean: 1699.41
[09/05/2017 10:07:32] >> ex0ep5000 mean: 1541.44
[09/05/2017 10:07:33] >> ex0ep5100 mean: 1609.51
[09/05/2017 10:07:33] >> ex0ep5200 mean: 1473.14
[09/05/2017 10:07:33] >> ex0ep5300 mean: 1441.28
[09/05/2017 10:07:33] >> ex0ep5400 mean: 1717.95
[09/05/2017 10:07:33] >> ex0ep5500 mean: 1908.3
[09/05/2017 10:07:33] >> ex0ep5600 mean: 1414.47
[09/05/2017 10:07:33] >> ex0ep5700 mean: 1706.29
[09/05/2017 10:07:33] >> ex0ep5800 mean: 1458.44
[09/05/2017 10:07:33] >> ex0ep5900 mean: 1649.4
[09/05/2017 10:07:34] >> ex0ep6000 mean: 1291.0
[09/05/2017 10:07:34] >> ex0ep6100 mean: 1742.1
[09/05/2017 10:07:34] >> ex0ep6200 mean: 1448.05
[09/05/2017 10:07:34] >> ex0ep6300 mean: 1364.16
[09/05/2017 10:07:34] >> ex0ep6400 mean: 1402.14
[09/05/2017 10:07:34] >> ex0ep6500 mean: 1394.34
[09/05/2017 10:07:34] >> ex0ep6600 mean: 1552.11
[09/05/2017 10:07:34] >> ex0ep6700 mean: 1468.57
[09/05/2017 10:07:34] >> ex0ep6800 mean: 1356.74
[09/05/2017 10:07:35] >> ex0ep6900 mean: 1572.45
[09/05/2017 10:07:35] >> ex0ep7000 mean: 1375.14
[09/05/2017 10:07:35] >> ex0ep7100 mean: 1386.52
[09/05/2017 10:07:35] >> ex0ep7200 mean: 1414.84
[09/05/2017 10:07:35] >> ex0ep7300 mean: 1285.1
[09/05/2017 10:07:35] >> ex0ep7400 mean: 1371.57
[09/05/2017 10:07:35] >> ex0ep7500 mean: 1457.83
[09/05/2017 10:07:35] >> ex0ep7600 mean: 1402.14
[09/05/2017 10:07:35] >> ex0ep7700 mean: 1323.66
[09/05/2017 10:07:35] >> ex0ep7800 mean: 1125.91
[09/05/2017 10:07:35] >> ex0ep7900 mean: 1117.68
[09/05/2017 10:07:36] >> ex0ep8000 mean: 1029.19
[09/05/2017 10:07:36] >> ex0ep8100 mean: 1139.21
[09/05/2017 10:07:36] >> ex0ep8200 mean: 1327.87
[09/05/2017 10:07:36] >> ex0ep8300 mean: 1165.09
[09/05/2017 10:07:36] >> ex0ep8400 mean: 978.96
[09/05/2017 10:07:36] >> ex0ep8500 mean: 1111.27
[09/05/2017 10:07:36] >> ex0ep8600 mean: 1085.87
[09/05/2017 10:07:36] >> ex0ep8700 mean: 1163.32
[09/05/2017 10:07:36] >> ex0ep8800 mean: 1219.55
[09/05/2017 10:07:36] >> ex0ep8900 mean: 1193.15
[09/05/2017 10:07:36] >> ex0ep9000 mean: 1061.83
[09/05/2017 10:07:36] >> ex0ep9100 mean: 1115.64
[09/05/2017 10:07:37] >> ex0ep9200 mean: 1068.68
[09/05/2017 10:07:37] >> ex0ep9300 mean: 942.2
[09/05/2017 10:07:37] >> ex0ep9400 mean: 984.32
[09/05/2017 10:07:37] >> ex0ep9500 mean: 1071.17
[09/05/2017 10:07:37] >> ex0ep9600 mean: 1235.87
[09/05/2017 10:07:37] >> ex0ep9700 mean: 1110.1
[09/05/2017 10:07:37] >> ex0ep9800 mean: 900.1
[09/05/2017 10:07:37] >> ex0ep9900 mean: 1102.48
[09/05/2017 10:07:37] >> ex0ep10000 mean: 976.97
[09/05/2017 10:07:37] >> total time: 12 secs
