<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[17/05/2017 10:52:13] >> Logger created
[17/05/2017 10:52:14] >> Similarities
[17/05/2017 10:52:14] >> === Experiment #0 ===
[17/05/2017 10:52:14] >> ex0ep100 mean: 2808.04
[17/05/2017 10:52:15] >> ex0ep200 mean: 2332.89
[17/05/2017 10:52:15] >> ex0ep300 mean: 2292.54
[17/05/2017 10:52:15] >> ex0ep400 mean: 2553.81
[17/05/2017 10:52:15] >> ex0ep500 mean: 2309.7
[17/05/2017 10:52:16] >> ex0ep600 mean: 2461.77
[17/05/2017 10:52:16] >> ex0ep700 mean: 2256.0
[17/05/2017 10:52:16] >> ex0ep800 mean: 2290.66
[17/05/2017 10:52:17] >> ex0ep900 mean: 2602.72
[17/05/2017 10:52:17] >> ex0ep1000 mean: 2177.21
[17/05/2017 10:52:17] >> ex0ep1100 mean: 2028.53
[17/05/2017 10:52:17] >> ex0ep1200 mean: 2418.57
[17/05/2017 10:52:17] >> ex0ep1300 mean: 2142.06
[17/05/2017 10:52:18] >> ex0ep1400 mean: 2099.92
[17/05/2017 10:52:18] >> ex0ep1500 mean: 2197.68
[17/05/2017 10:52:18] >> ex0ep1600 mean: 1935.89
[17/05/2017 10:52:18] >> ex0ep1700 mean: 1801.11
[17/05/2017 10:52:18] >> ex0ep1800 mean: 2045.53
[17/05/2017 10:52:19] >> ex0ep1900 mean: 1649.67
[17/05/2017 10:52:19] >> ex0ep2000 mean: 1966.68
[17/05/2017 10:52:19] >> ex0ep2100 mean: 1585.67
[17/05/2017 10:52:19] >> ex0ep2200 mean: 1830.75
[17/05/2017 10:52:19] >> ex0ep2300 mean: 1837.61
[17/05/2017 10:52:19] >> ex0ep2400 mean: 1829.11
[17/05/2017 10:52:20] >> ex0ep2500 mean: 1769.88
[17/05/2017 10:52:20] >> ex0ep2600 mean: 1871.86
[17/05/2017 10:52:20] >> ex0ep2700 mean: 1388.69
[17/05/2017 10:52:20] >> ex0ep2800 mean: 1631.85
[17/05/2017 10:52:20] >> ex0ep2900 mean: 1443.97
[17/05/2017 10:52:20] >> ex0ep3000 mean: 1715.74
[17/05/2017 10:52:21] >> ex0ep3100 mean: 1505.41
[17/05/2017 10:52:21] >> ex0ep3200 mean: 1782.6
[17/05/2017 10:52:21] >> ex0ep3300 mean: 1589.47
[17/05/2017 10:52:21] >> ex0ep3400 mean: 1228.6
[17/05/2017 10:52:21] >> ex0ep3500 mean: 1265.91
[17/05/2017 10:52:21] >> ex0ep3600 mean: 1331.02
[17/05/2017 10:52:22] >> ex0ep3700 mean: 1404.91
[17/05/2017 10:52:22] >> ex0ep3800 mean: 1269.45
[17/05/2017 10:52:22] >> ex0ep3900 mean: 1148.18
[17/05/2017 10:52:22] >> ex0ep4000 mean: 1273.65
[17/05/2017 10:52:22] >> ex0ep4100 mean: 1185.49
[17/05/2017 10:52:22] >> ex0ep4200 mean: 1137.2
[17/05/2017 10:52:22] >> ex0ep4300 mean: 1282.29
[17/05/2017 10:52:22] >> ex0ep4400 mean: 1175.8
[17/05/2017 10:52:22] >> ex0ep4500 mean: 1122.7
[17/05/2017 10:52:23] >> ex0ep4600 mean: 1206.78
[17/05/2017 10:52:23] >> ex0ep4700 mean: 1083.83
[17/05/2017 10:52:23] >> ex0ep4800 mean: 987.72
[17/05/2017 10:52:23] >> ex0ep4900 mean: 976.19
[17/05/2017 10:52:23] >> ex0ep5000 mean: 931.83
[17/05/2017 10:52:23] >> ex0ep5100 mean: 771.67
[17/05/2017 10:52:23] >> ex0ep5200 mean: 931.04
[17/05/2017 10:52:23] >> ex0ep5300 mean: 836.87
[17/05/2017 10:52:23] >> ex0ep5400 mean: 958.91
[17/05/2017 10:52:23] >> ex0ep5500 mean: 982.43
[17/05/2017 10:52:24] >> ex0ep5600 mean: 790.12
[17/05/2017 10:52:24] >> ex0ep5700 mean: 851.69
[17/05/2017 10:52:24] >> ex0ep5800 mean: 833.59
[17/05/2017 10:52:24] >> ex0ep5900 mean: 665.39
[17/05/2017 10:52:24] >> ex0ep6000 mean: 619.03
[17/05/2017 10:52:24] >> ex0ep6100 mean: 724.39
[17/05/2017 10:52:24] >> ex0ep6200 mean: 537.66
[17/05/2017 10:52:24] >> ex0ep6300 mean: 656.16
[17/05/2017 10:52:24] >> ex0ep6400 mean: 620.17
[17/05/2017 10:52:24] >> ex0ep6500 mean: 644.34
[17/05/2017 10:52:24] >> ex0ep6600 mean: 504.37
[17/05/2017 10:52:24] >> ex0ep6700 mean: 605.9
[17/05/2017 10:52:24] >> ex0ep6800 mean: 582.19
[17/05/2017 10:52:24] >> ex0ep6900 mean: 554.0
[17/05/2017 10:52:24] >> ex0ep7000 mean: 563.85
[17/05/2017 10:52:25] >> ex0ep7100 mean: 549.2
[17/05/2017 10:52:25] >> ex0ep7200 mean: 566.39
[17/05/2017 10:52:25] >> ex0ep7300 mean: 511.44
[17/05/2017 10:52:25] >> ex0ep7400 mean: 503.16
[17/05/2017 10:52:25] >> ex0ep7500 mean: 515.99
[17/05/2017 10:52:25] >> ex0ep7600 mean: 534.31
[17/05/2017 10:52:25] >> ex0ep7700 mean: 479.3
[17/05/2017 10:52:25] >> ex0ep7800 mean: 435.27
[17/05/2017 10:52:25] >> ex0ep7900 mean: 469.81
[17/05/2017 10:52:25] >> ex0ep8000 mean: 395.75
[17/05/2017 10:52:25] >> ex0ep8100 mean: 449.04
[17/05/2017 10:52:25] >> ex0ep8200 mean: 457.15
[17/05/2017 10:52:25] >> ex0ep8300 mean: 547.64
[17/05/2017 10:52:25] >> ex0ep8400 mean: 443.43
[17/05/2017 10:52:25] >> ex0ep8500 mean: 393.98
[17/05/2017 10:52:25] >> ex0ep8600 mean: 379.5
[17/05/2017 10:52:25] >> ex0ep8700 mean: 352.43
[17/05/2017 10:52:25] >> ex0ep8800 mean: 372.11
[17/05/2017 10:52:25] >> ex0ep8900 mean: 423.4
[17/05/2017 10:52:25] >> ex0ep9000 mean: 354.99
[17/05/2017 10:52:26] >> ex0ep9100 mean: 452.63
[17/05/2017 10:52:26] >> ex0ep9200 mean: 370.98
[17/05/2017 10:52:26] >> ex0ep9300 mean: 313.13
[17/05/2017 10:52:26] >> ex0ep9400 mean: 414.76
[17/05/2017 10:52:26] >> ex0ep9500 mean: 393.9
[17/05/2017 10:52:26] >> ex0ep9600 mean: 400.86
[17/05/2017 10:52:26] >> ex0ep9700 mean: 358.04
[17/05/2017 10:52:26] >> ex0ep9800 mean: 339.77
[17/05/2017 10:52:26] >> ex0ep9900 mean: 294.48
[17/05/2017 10:52:26] >> ex0ep10000 mean: 348.53
[17/05/2017 10:52:26] >> ex0ep10100 mean: 307.33
[17/05/2017 10:52:26] >> ex0ep10200 mean: 304.71
[17/05/2017 10:52:26] >> ex0ep10300 mean: 367.49
[17/05/2017 10:52:26] >> ex0ep10400 mean: 307.97
[17/05/2017 10:52:26] >> ex0ep10500 mean: 339.65
