<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[11/05/2017 13:51:47] >> Logger created
[11/05/2017 13:51:48] >> Abstraction
[11/05/2017 13:51:48] >> === Experiment #0 ===
[11/05/2017 13:51:49] >> ex0ep100 mean: 2715.52
[11/05/2017 13:51:50] >> ex0ep200 mean: 2707.21
[11/05/2017 13:51:51] >> ex0ep300 mean: 2865.58
[11/05/2017 13:51:51] >> ex0ep400 mean: 2394.21
[11/05/2017 13:51:52] >> ex0ep500 mean: 2646.04
[11/05/2017 13:51:53] >> ex0ep600 mean: 2537.65
[11/05/2017 13:51:54] >> ex0ep700 mean: 2741.32
[11/05/2017 13:51:55] >> ex0ep800 mean: 2327.69
[11/05/2017 13:51:56] >> ex0ep900 mean: 2569.37
[11/05/2017 13:51:56] >> ex0ep1000 mean: 2387.07
[11/05/2017 13:51:57] >> ex0ep1100 mean: 2194.88
[11/05/2017 13:51:58] >> ex0ep1200 mean: 2531.64
[11/05/2017 13:51:59] >> ex0ep1300 mean: 2128.53
