<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[16/05/2017 17:03:27] >> Logger created
[16/05/2017 17:03:27] >> Abstraction
[16/05/2017 17:03:27] >> === Experiment #0 ===
[16/05/2017 17:03:27] >> ex0ep100 mean: 290.61
[16/05/2017 17:03:27] >> ex0ep200 mean: 47.75
[16/05/2017 17:03:27] >> ex0ep300 mean: 53.4
[16/05/2017 17:03:27] >> ex0ep400 mean: 47.51
[16/05/2017 17:03:27] >> ex0ep500 mean: 46.44
[16/05/2017 17:03:27] >> ex0ep600 mean: 39.49
[16/05/2017 17:03:27] >> ex0ep700 mean: 41.17
[16/05/2017 17:03:27] >> ex0ep800 mean: 36.38
[16/05/2017 17:03:28] >> ex0ep900 mean: 34.21
[16/05/2017 17:03:28] >> ex0ep1000 mean: 38.84
[16/05/2017 17:03:28] >> ex0ep1100 mean: 35.85
[16/05/2017 17:03:28] >> ex0ep1200 mean: 38.34
[16/05/2017 17:03:28] >> ex0ep1300 mean: 36.09
[16/05/2017 17:03:28] >> ex0ep1400 mean: 34.51
[16/05/2017 17:03:28] >> ex0ep1500 mean: 36.61
[16/05/2017 17:03:28] >> ex0ep1600 mean: 39.04
[16/05/2017 17:03:28] >> ex0ep1700 mean: 36.63
[16/05/2017 17:03:28] >> ex0ep1800 mean: 38.05
[16/05/2017 17:03:28] >> ex0ep1900 mean: 37.28
[16/05/2017 17:03:28] >> ex0ep2000 mean: 34.27
[16/05/2017 17:03:28] >> ex0ep2100 mean: 34.72
[16/05/2017 17:03:28] >> ex0ep2200 mean: 34.41
[16/05/2017 17:03:28] >> ex0ep2300 mean: 35.45
[16/05/2017 17:03:28] >> ex0ep2400 mean: 35.58
[16/05/2017 17:03:28] >> ex0ep2500 mean: 32.71
[16/05/2017 17:03:28] >> ex0ep2600 mean: 31.47
[16/05/2017 17:03:28] >> ex0ep2700 mean: 36.93
[16/05/2017 17:03:28] >> ex0ep2800 mean: 33.62
[16/05/2017 17:03:28] >> ex0ep2900 mean: 32.08
[16/05/2017 17:03:28] >> ex0ep3000 mean: 34.93
[16/05/2017 17:03:28] >> ex0ep3100 mean: 36.33
[16/05/2017 17:03:28] >> ex0ep3200 mean: 31.25
[16/05/2017 17:03:28] >> ex0ep3300 mean: 36.67
[16/05/2017 17:03:28] >> ex0ep3400 mean: 32.18
[16/05/2017 17:03:28] >> ex0ep3500 mean: 36.38
[16/05/2017 17:03:28] >> ex0ep3600 mean: 39.1
[16/05/2017 17:03:28] >> ex0ep3700 mean: 36.64
[16/05/2017 17:03:28] >> ex0ep3800 mean: 35.36
[16/05/2017 17:03:28] >> ex0ep3900 mean: 37.78
[16/05/2017 17:03:28] >> ex0ep4000 mean: 35.37
[16/05/2017 17:03:28] >> ex0ep4100 mean: 33.7
[16/05/2017 17:03:28] >> ex0ep4200 mean: 34.6
[16/05/2017 17:03:28] >> ex0ep4300 mean: 31.17
[16/05/2017 17:03:28] >> ex0ep4400 mean: 37.06
[16/05/2017 17:03:28] >> ex0ep4500 mean: 37.57
[16/05/2017 17:03:28] >> ex0ep4600 mean: 35.17
[16/05/2017 17:03:28] >> ex0ep4700 mean: 35.8
[16/05/2017 17:03:28] >> ex0ep4800 mean: 32.74
[16/05/2017 17:03:28] >> ex0ep4900 mean: 33.65
[16/05/2017 17:03:28] >> ex0ep5000 mean: 35.33
[16/05/2017 17:03:28] >> ex0ep5100 mean: 34.02
[16/05/2017 17:03:28] >> ex0ep5200 mean: 39.6
[16/05/2017 17:03:28] >> ex0ep5300 mean: 35.39
[16/05/2017 17:03:28] >> ex0ep5400 mean: 33.2
[16/05/2017 17:03:28] >> ex0ep5500 mean: 35.19
[16/05/2017 17:03:28] >> ex0ep5600 mean: 34.16
[16/05/2017 17:03:28] >> ex0ep5700 mean: 34.53
[16/05/2017 17:03:28] >> ex0ep5800 mean: 35.01
[16/05/2017 17:03:28] >> ex0ep5900 mean: 35.97
[16/05/2017 17:03:28] >> ex0ep6000 mean: 32.99
[16/05/2017 17:03:28] >> ex0ep6100 mean: 34.14
[16/05/2017 17:03:28] >> ex0ep6200 mean: 32.64
[16/05/2017 17:03:28] >> ex0ep6300 mean: 37.56
[16/05/2017 17:03:28] >> ex0ep6400 mean: 34.27
[16/05/2017 17:03:28] >> ex0ep6500 mean: 33.7
[16/05/2017 17:03:28] >> ex0ep6600 mean: 35.18
[16/05/2017 17:03:28] >> ex0ep6700 mean: 33.27
[16/05/2017 17:03:28] >> ex0ep6800 mean: 32.5
[16/05/2017 17:03:28] >> ex0ep6900 mean: 33.82
[16/05/2017 17:03:28] >> ex0ep7000 mean: 31.0
[16/05/2017 17:03:28] >> ex0ep7100 mean: 36.55
[16/05/2017 17:03:28] >> ex0ep7200 mean: 34.72
[16/05/2017 17:03:28] >> ex0ep7300 mean: 33.53
[16/05/2017 17:03:28] >> ex0ep7400 mean: 31.81
[16/05/2017 17:03:28] >> ex0ep7500 mean: 34.48
[16/05/2017 17:03:28] >> ex0ep7600 mean: 33.53
[16/05/2017 17:03:28] >> ex0ep7700 mean: 32.14
[16/05/2017 17:03:28] >> ex0ep7800 mean: 33.94
[16/05/2017 17:03:28] >> ex0ep7900 mean: 34.45
