<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[16/05/2017 16:50:34] >> Logger created
[16/05/2017 16:50:34] >> Abstraction
[16/05/2017 16:50:35] >> === Experiment #0 ===
[16/05/2017 16:50:35] >> ex0ep100 mean: 864.72
[16/05/2017 16:50:35] >> ex0ep200 mean: 110.34
[16/05/2017 16:50:35] >> ex0ep300 mean: 42.17
[16/05/2017 16:50:35] >> ex0ep400 mean: 52.65
[16/05/2017 16:50:35] >> ex0ep500 mean: 35.8
[16/05/2017 16:50:35] >> ex0ep600 mean: 39.18
[16/05/2017 16:50:35] >> ex0ep700 mean: 35.51
[16/05/2017 16:50:35] >> ex0ep800 mean: 31.47
[16/05/2017 16:50:35] >> ex0ep900 mean: 34.57
[16/05/2017 16:50:35] >> ex0ep1000 mean: 35.65
[16/05/2017 16:50:35] >> ex0ep1100 mean: 36.25
[16/05/2017 16:50:35] >> ex0ep1200 mean: 38.93
[16/05/2017 16:50:35] >> ex0ep1300 mean: 35.26
[16/05/2017 16:50:35] >> ex0ep1400 mean: 33.97
[16/05/2017 16:50:35] >> ex0ep1500 mean: 34.03
[16/05/2017 16:50:35] >> ex0ep1600 mean: 38.86
[16/05/2017 16:50:35] >> ex0ep1700 mean: 34.69
[16/05/2017 16:50:35] >> ex0ep1800 mean: 35.46
[16/05/2017 16:50:35] >> ex0ep1900 mean: 33.6
[16/05/2017 16:50:35] >> ex0ep2000 mean: 31.88
[16/05/2017 16:50:35] >> ex0ep2100 mean: 34.89
[16/05/2017 16:50:35] >> ex0ep2200 mean: 35.45
[16/05/2017 16:50:35] >> ex0ep2300 mean: 32.51
[16/05/2017 16:50:35] >> ex0ep2400 mean: 34.74
[16/05/2017 16:50:35] >> ex0ep2500 mean: 36.73
[16/05/2017 16:50:35] >> ex0ep2600 mean: 36.7
[16/05/2017 16:50:35] >> ex0ep2700 mean: 35.47
[16/05/2017 16:50:35] >> ex0ep2800 mean: 35.83
[16/05/2017 16:50:35] >> ex0ep2900 mean: 33.38
[16/05/2017 16:50:35] >> ex0ep3000 mean: 31.7
[16/05/2017 16:50:35] >> ex0ep3100 mean: 33.06
[16/05/2017 16:50:35] >> ex0ep3200 mean: 34.88
[16/05/2017 16:50:35] >> ex0ep3300 mean: 33.72
[16/05/2017 16:50:35] >> ex0ep3400 mean: 32.72
[16/05/2017 16:50:35] >> ex0ep3500 mean: 31.34
[16/05/2017 16:50:35] >> ex0ep3600 mean: 34.03
[16/05/2017 16:50:35] >> ex0ep3700 mean: 32.77
[16/05/2017 16:50:35] >> ex0ep3800 mean: 29.66
[16/05/2017 16:50:35] >> ex0ep3900 mean: 32.85
[16/05/2017 16:50:35] >> ex0ep4000 mean: 32.18
[16/05/2017 16:50:35] >> ex0ep4100 mean: 36.06
[16/05/2017 16:50:35] >> ex0ep4200 mean: 32.29
[16/05/2017 16:50:35] >> ex0ep4300 mean: 35.43
[16/05/2017 16:50:35] >> ex0ep4400 mean: 33.65
[16/05/2017 16:50:35] >> ex0ep4500 mean: 34.2
[16/05/2017 16:50:35] >> ex0ep4600 mean: 59.06
[16/05/2017 16:50:35] >> ex0ep4700 mean: 53.26
[16/05/2017 16:50:35] >> ex0ep4800 mean: 35.02
