<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[11/05/2017 14:00:50] >> Logger created
[11/05/2017 14:00:50] >> Abstraction
[11/05/2017 14:00:50] >> === Experiment #0 ===
[11/05/2017 14:00:51] >> ex0ep100 mean: 2338.44
[11/05/2017 14:00:51] >> ex0ep200 mean: 1549.77
[11/05/2017 14:00:51] >> ex0ep300 mean: 1568.04
[11/05/2017 14:00:51] >> ex0ep400 mean: 1614.63
[11/05/2017 14:00:51] >> ex0ep500 mean: 1337.33
[11/05/2017 14:00:52] >> ex0ep600 mean: 1073.71
[11/05/2017 14:00:52] >> ex0ep700 mean: 1218.79
[11/05/2017 14:00:52] >> ex0ep800 mean: 901.97
[11/05/2017 14:00:52] >> ex0ep900 mean: 1579.22
[11/05/2017 14:00:52] >> ex0ep1000 mean: 1184.7
[11/05/2017 14:00:52] >> ex0ep1100 mean: 1049.0
[11/05/2017 14:00:53] >> ex0ep1200 mean: 1180.31
[11/05/2017 14:00:53] >> ex0ep1300 mean: 998.65
[11/05/2017 14:00:53] >> ex0ep1400 mean: 929.6
[11/05/2017 14:00:53] >> ex0ep1500 mean: 794.42
[11/05/2017 14:00:53] >> ex0ep1600 mean: 957.92
[11/05/2017 14:00:53] >> ex0ep1700 mean: 450.88
[11/05/2017 14:00:53] >> ex0ep1800 mean: 939.76
[11/05/2017 14:00:53] >> ex0ep1900 mean: 1027.73
[11/05/2017 14:00:54] >> ex0ep2000 mean: 1028.85
[11/05/2017 14:00:54] >> ex0ep2100 mean: 727.69
[11/05/2017 14:00:54] >> ex0ep2200 mean: 529.07
[11/05/2017 14:00:54] >> ex0ep2300 mean: 929.06
[11/05/2017 14:00:54] >> ex0ep2400 mean: 1024.66
[11/05/2017 14:00:54] >> ex0ep2500 mean: 975.77
[11/05/2017 14:00:54] >> ex0ep2600 mean: 926.11
[11/05/2017 14:00:54] >> ex0ep2700 mean: 678.36
[11/05/2017 14:00:54] >> ex0ep2800 mean: 1072.28
[11/05/2017 14:00:55] >> ex0ep2900 mean: 826.17
[11/05/2017 14:00:55] >> ex0ep3000 mean: 827.43
[11/05/2017 14:00:55] >> ex0ep3100 mean: 1126.02
[11/05/2017 14:00:55] >> ex0ep3200 mean: 873.83
[11/05/2017 14:00:55] >> ex0ep3300 mean: 505.14
[11/05/2017 14:00:55] >> ex0ep3400 mean: 634.59
[11/05/2017 14:00:55] >> ex0ep3500 mean: 727.59
[11/05/2017 14:00:55] >> ex0ep3600 mean: 682.35
[11/05/2017 14:00:55] >> ex0ep3700 mean: 778.26
[11/05/2017 14:00:55] >> ex0ep3800 mean: 729.22
[11/05/2017 14:00:56] >> ex0ep3900 mean: 532.24
[11/05/2017 14:00:56] >> ex0ep4000 mean: 777.96
[11/05/2017 14:00:56] >> ex0ep4100 mean: 851.1
[11/05/2017 14:00:56] >> ex0ep4200 mean: 976.68
[11/05/2017 14:00:56] >> ex0ep4300 mean: 1040.04
[11/05/2017 14:00:56] >> ex0ep4400 mean: 680.4
[11/05/2017 14:00:56] >> ex0ep4500 mean: 678.42
[11/05/2017 14:00:56] >> ex0ep4600 mean: 736.42
[11/05/2017 14:00:56] >> ex0ep4700 mean: 839.12
[11/05/2017 14:00:56] >> ex0ep4800 mean: 668.79
[11/05/2017 14:00:57] >> ex0ep4900 mean: 637.54
[11/05/2017 14:00:57] >> ex0ep5000 mean: 887.02
[11/05/2017 14:00:57] >> ex0ep5100 mean: 787.21
[11/05/2017 14:00:57] >> ex0ep5200 mean: 531.09
[11/05/2017 14:00:57] >> ex0ep5300 mean: 682.36
[11/05/2017 14:00:57] >> ex0ep5400 mean: 727.58
[11/05/2017 14:00:57] >> ex0ep5500 mean: 976.19
[11/05/2017 14:00:57] >> ex0ep5600 mean: 740.56
[11/05/2017 14:00:57] >> ex0ep5700 mean: 669.73
