<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[16/05/2017 16:34:18] >> Logger created
[16/05/2017 16:34:19] >> Abstraction
[16/05/2017 16:34:19] >> === Experiment #0 ===
[16/05/2017 16:34:19] >> ex0ep100 mean: 335.32
[16/05/2017 16:34:19] >> ex0ep200 mean: 175.73
[16/05/2017 16:34:19] >> ex0ep300 mean: 48.21
[16/05/2017 16:34:19] >> ex0ep400 mean: 48.86
[16/05/2017 16:34:19] >> ex0ep500 mean: 54.76
[16/05/2017 16:34:19] >> ex0ep600 mean: 48.83
[16/05/2017 16:34:19] >> ex0ep700 mean: 45.78
[16/05/2017 16:34:19] >> ex0ep800 mean: 48.16
[16/05/2017 16:34:19] >> ex0ep900 mean: 48.79
[16/05/2017 16:34:19] >> ex0ep1000 mean: 51.14
[16/05/2017 16:34:19] >> ex0ep1100 mean: 45.37
[16/05/2017 16:34:19] >> ex0ep1200 mean: 49.23
[16/05/2017 16:34:19] >> ex0ep1300 mean: 42.2
[16/05/2017 16:34:19] >> ex0ep1400 mean: 50.17
[16/05/2017 16:34:19] >> ex0ep1500 mean: 46.44
[16/05/2017 16:34:19] >> ex0ep1600 mean: 45.01
[16/05/2017 16:34:19] >> ex0ep1700 mean: 44.35
[16/05/2017 16:34:19] >> ex0ep1800 mean: 43.93
[16/05/2017 16:34:19] >> ex0ep1900 mean: 46.81
[16/05/2017 16:34:19] >> ex0ep2000 mean: 44.65
[16/05/2017 16:34:19] >> ex0ep2100 mean: 44.65
[16/05/2017 16:34:19] >> ex0ep2200 mean: 44.59
[16/05/2017 16:34:19] >> ex0ep2300 mean: 44.21
[16/05/2017 16:34:19] >> ex0ep2400 mean: 45.49
[16/05/2017 16:34:19] >> ex0ep2500 mean: 48.8
[16/05/2017 16:34:19] >> ex0ep2600 mean: 47.01
[16/05/2017 16:34:19] >> ex0ep2700 mean: 47.19
[16/05/2017 16:34:19] >> ex0ep2800 mean: 47.9
[16/05/2017 16:34:19] >> ex0ep2900 mean: 43.43
[16/05/2017 16:34:19] >> ex0ep3000 mean: 45.79
[16/05/2017 16:34:19] >> ex0ep3100 mean: 45.96
[16/05/2017 16:34:19] >> ex0ep3200 mean: 48.13
[16/05/2017 16:34:19] >> ex0ep3300 mean: 45.04
[16/05/2017 16:34:19] >> ex0ep3400 mean: 53.17
[16/05/2017 16:34:19] >> ex0ep3500 mean: 49.67
[16/05/2017 16:34:19] >> ex0ep3600 mean: 46.54
[16/05/2017 16:34:19] >> ex0ep3700 mean: 52.87
[16/05/2017 16:34:19] >> ex0ep3800 mean: 51.18
[16/05/2017 16:34:19] >> ex0ep3900 mean: 46.08
[16/05/2017 16:34:19] >> ex0ep4000 mean: 53.62
[16/05/2017 16:34:19] >> ex0ep4100 mean: 46.37
[16/05/2017 16:34:19] >> ex0ep4200 mean: 43.7
[16/05/2017 16:34:19] >> ex0ep4300 mean: 45.69
[16/05/2017 16:34:19] >> ex0ep4400 mean: 50.82
[16/05/2017 16:34:19] >> ex0ep4500 mean: 61.47
[16/05/2017 16:34:19] >> ex0ep4600 mean: 49.81
[16/05/2017 16:34:19] >> ex0ep4700 mean: 47.62
[16/05/2017 16:34:19] >> ex0ep4800 mean: 40.03
[16/05/2017 16:34:19] >> ex0ep4900 mean: 40.93
[16/05/2017 16:34:19] >> ex0ep5000 mean: 41.56
[16/05/2017 16:34:19] >> ex0ep5100 mean: 37.69
[16/05/2017 16:34:19] >> ex0ep5200 mean: 41.59
[16/05/2017 16:34:19] >> ex0ep5300 mean: 40.84
[16/05/2017 16:34:19] >> ex0ep5400 mean: 42.8
[16/05/2017 16:34:19] >> ex0ep5500 mean: 42.77
[16/05/2017 16:34:19] >> ex0ep5600 mean: 42.58
[16/05/2017 16:34:19] >> ex0ep5700 mean: 41.45
[16/05/2017 16:34:19] >> ex0ep5800 mean: 43.09
[16/05/2017 16:34:19] >> ex0ep5900 mean: 36.96
[16/05/2017 16:34:19] >> ex0ep6000 mean: 45.07
[16/05/2017 16:34:19] >> ex0ep6100 mean: 44.87
[16/05/2017 16:34:19] >> ex0ep6200 mean: 53.91
[16/05/2017 16:34:19] >> ex0ep6300 mean: 39.04
[16/05/2017 16:34:19] >> ex0ep6400 mean: 37.97
[16/05/2017 16:34:19] >> ex0ep6500 mean: 42.41
[16/05/2017 16:34:19] >> ex0ep6600 mean: 41.89
[16/05/2017 16:34:19] >> ex0ep6700 mean: 37.66
[16/05/2017 16:34:19] >> ex0ep6800 mean: 39.28
[16/05/2017 16:34:19] >> ex0ep6900 mean: 43.2
[16/05/2017 16:34:19] >> ex0ep7000 mean: 40.28
[16/05/2017 16:34:19] >> ex0ep7100 mean: 38.82
[16/05/2017 16:34:19] >> ex0ep7200 mean: 43.04
[16/05/2017 16:34:19] >> ex0ep7300 mean: 44.63
[16/05/2017 16:34:19] >> ex0ep7400 mean: 39.27
[16/05/2017 16:34:19] >> ex0ep7500 mean: 41.2
[16/05/2017 16:34:19] >> ex0ep7600 mean: 40.63
[16/05/2017 16:34:19] >> ex0ep7700 mean: 44.6
[16/05/2017 16:34:19] >> ex0ep7800 mean: 40.12
[16/05/2017 16:34:19] >> ex0ep7900 mean: 43.28
[16/05/2017 16:34:19] >> ex0ep8000 mean: 36.95
[16/05/2017 16:34:19] >> ex0ep8100 mean: 43.54
[16/05/2017 16:34:19] >> ex0ep8200 mean: 46.66
[16/05/2017 16:34:19] >> ex0ep8300 mean: 40.96
[16/05/2017 16:34:19] >> ex0ep8400 mean: 38.28
[16/05/2017 16:34:19] >> ex0ep8500 mean: 39.69
[16/05/2017 16:34:20] >> ex0ep8600 mean: 41.61
[16/05/2017 16:34:20] >> ex0ep8700 mean: 42.62
[16/05/2017 16:34:20] >> ex0ep8800 mean: 40.71
[16/05/2017 16:34:20] >> ex0ep8900 mean: 40.67
[16/05/2017 16:34:20] >> ex0ep9000 mean: 37.05
[16/05/2017 16:34:20] >> ex0ep9100 mean: 42.94
[16/05/2017 16:34:20] >> ex0ep9200 mean: 41.28
[16/05/2017 16:34:20] >> ex0ep9300 mean: 42.05
[16/05/2017 16:34:20] >> ex0ep9400 mean: 40.02
[16/05/2017 16:34:20] >> ex0ep9500 mean: 43.13
[16/05/2017 16:34:20] >> ex0ep9600 mean: 42.19
[16/05/2017 16:34:20] >> ex0ep9700 mean: 38.95
[16/05/2017 16:34:20] >> ex0ep9800 mean: 39.93
[16/05/2017 16:34:20] >> ex0ep9900 mean: 40.86
[16/05/2017 16:34:20] >> ex0ep10000 mean: 42.17
[16/05/2017 16:34:20] >> total time: 0 secs
